"Category";"Topic";"URL";"Question 1";"Question 2";"Question 3";"Question 4";"Question 5";"Question 6";"Question 7";"Question 8";"Question 9";"Link history of prev results";"Status";"Template";"Comment"
"Culture";"national-day";"/content/categories/culture/national-day/events/our-lady-of-meritxell-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/armenia-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/austria-national-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/azerbaijan-republic-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/belarus-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/belgian-national-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/bosnia-and-herzegovina-statehood-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/bulgaria-liberation-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/croatia-statehood-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/cyprus-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/czech-independent-state-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/denmark-constitution-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/estonia-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/finland-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/bastille-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/georgia-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/day-of-german-unity.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/greek-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/saint-stephen-s-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/iceland-national-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/saint-patrick-s-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/festa-della-repubblica.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/kosovo-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/latvia-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/liechtenstein-national-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/lithuania-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/luxembourg-national-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/malta-freedom-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/moldova-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/monaco-national-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/montenegro-statehood-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/king-s-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/north-macedonia-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/poland-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/portugal-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/great-union-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/russia-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/san-marino-foundation-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/serbia-statehood-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/slovakia-constitution-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/slovenia-statehood-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/spain-national-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/sweden-national-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/swiss-national-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/republic-day-of-turkey.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/ukraine-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/chair-of-saint-peter.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
